日期,商品名稱,身份別,多方交易口數,多方交易契約金額(千元),空方交易口數,空方交易契約金額(千元),多空交易口數淨額,多空交易契約金額淨額(千元),多方未平倉口數,多方未平倉契約金額(千元),空方未平倉口數,空方未平倉契約金額(千元),多空未平倉口數淨額,多空未平倉契約金額淨額(千元)
2024/04/03,臺指選擇權,自營商,335927,761386,368545,888228,-32618,-126842,102799,930198,85185,625795,17614,304403
2024/04/08,臺指選擇權,外資,140226,562487,142218,567883,-1992,-5395,46100,354559,53032,286025,-6932,68534
2024/04/08,臺指選擇權,投信,0,0,0,0,0,0,272,1765,180,185,92,1580
2024/04/08,臺指選擇權,自營商,201106,511909,183242,455934,17864,55976,134746,960647,99268,605948,35478,354699
2024/04/09,臺指選擇權,外資,265308,1061769,266717,1116374,-1409,-54606,55068,716507,63409,495010,-8341,221497
2024/04/09,臺指選擇權,投信,0,0,0,0,0,0,272,3489,180,852,92,2637
2024/04/09,臺指選擇權,自營商,394028,1027349,378782,1095719,15246,-68370,152547,1392077,101823,939556,50724,452521
2024/04/10,臺指選擇權,外資,290358,851877,290367,859832,-9,-7955,47654,620926,58047,445234,-10393,175692
2024/04/10,臺指選擇權,投信,0,0,0,0,0,0,272,3311,180,723,92,2588
2024/04/10,臺指選擇權,自營商,332322,747405,346800,842300,-14478,-94895,112198,1196320,89878,877341,22320,318979
2024/04/11,臺指選擇權,外資,154339,930839,156066,933101,-1727,-2262,63901,771563,76021,661353,-12120,110210
2024/04/11,臺指選擇權,投信,0,0,200,296,-200,-296,272,2820,380,593,-108,2227
2024/04/11,臺指選擇權,自營商,188275,595137,200115,642613,-11840,-47476,122932,1091017,112452,838413,10480,252604
2024/04/12,臺指選擇權,外資,167478,680204,165902,687981,1576,-7777,74792,758953,85336,663841,-10544,95112
2024/04/12,臺指選擇權,投信,0,0,0,0,0,0,272,2793,380,415,-108,2378
2024/04/12,臺指選擇權,自營商,175190,480014,168366,457299,6824,22715,131051,1091668,113747,809803,17304,281865
2024/04/15,臺指選擇權,外資,236248,948631,235532,965672,716,-17041,78728,678504,88556,709586,-9828,-31082
2024/04/15,臺指選擇權,投信,80,80,0,0,80,80,272,1621,300,499,-28,1122
2024/04/15,臺指選擇權,自營商,267576,720286,285142,729839,-17566,-9553,127686,1041776,127948,797586,-262,244190
2024/04/16,臺指選擇權,外資,425433,2007348,413647,1946373,11786,60975,91986,905183,90028,1294074,1958,-388891
2024/04/16,臺指選擇權,投信,280,4049,240,387,40,3662,272,375,260,364,12,11
2024/04/16,臺指選擇權,自營商,529444,1853658,533001,1686881,-3557,166777,142568,1337682,146387,1073985,-3819,263697
2024/04/17,臺指選擇權,外資,486756,1589987,483858,1592695,2898,-2708,42169,686001,52030,783232,-9861,-97231
2024/04/17,臺指選擇權,投信,266,2101,172,3,94,2099,166,2083,0,0,166,2083
2024/04/17,臺指選擇權,自營商,523303,1411252,505947,1277018,17356,134234,81687,944509,76614,620165,5073,324344
2024/04/18,臺指選擇權,外資,221466,1473189,222785,1474129,-1319,-940,53968,771726,65148,771715,-11180,11
2024/04/18,臺指選擇權,投信,80,1859,180,915,-100,943,246,4137,180,1196,66,2941
2024/04/18,臺指選擇權,自營商,211619,968569,209276,997069,2343,-28499,101441,984577,94025,710804,7416,273773
2024/04/19,臺指選擇權,外資,497720,3196249,501365,3166349,-3645,29899,57807,1012666,72632,1564384,-14825,-551718
2024/04/19,臺指選擇權,投信,0,0,0,0,0,0,246,5705,180,1255,66,4450
2024/04/19,臺指選擇權,自營商,505292,2778512,503323,2754195,1969,24318,115568,1456500,106183,988751,9385,467749
2024/04/22,臺指選擇權,外資,280952,1527487,277950,1510438,3002,17049,63570,986918,75393,1517654,-11823,-530736
2024/04/22,臺指選擇權,投信,0,0,0,0,0,0,246,5273,180,981,66,4292
2024/04/22,臺指選擇權,自營商,307124,1339347,305260,1304048,1864,35299,129637,1420965,118388,898359,11249,522606
2024/04/23,臺指選擇權,外資,223055,903453,220472,887248,2583,16204,66639,878517,75879,1261418,-9240,-382901
2024/04/23,臺指選擇權,投信,0,0,0,0,0,0,246,4212,180,650,66,3562
2024/04/23,臺指選擇權,自營商,264327,724763,248294,646926,16033,77837,147837,1310882,120555,754855,27282,556027
2024/04/24,臺指選擇權,外資,309077,1078295,303877,1100320,5200,-22025,54525,789862,57229,795806,-2704,-5944
2024/04/24,臺指選擇權,投信,0,0,0,0,0,0,246,3503,180,700,66,2803
2024/04/24,臺指選擇權,自營商,445286,1282493,411852,1240423,33434,42070,90454,1081522,84665,670814,5789,410708
2024/04/25,臺指選擇權,外資,158974,964310,159608,968945,-634,-4635,62799,854631,66137,1023847,-3338,-169216
2024/04/25,臺指選擇權,投信,0,0,0,0,0,0,246,3819,180,630,66,3189
2024/04/25,臺指選擇權,自營商,174674,763298,168706,832064,5968,-68765,111826,1133105,100069,746183,11757,386922
2024/04/26,臺指選擇權,外資,307348,1706280,301998,1699789,5350,6491,72595,877236,70583,866736,2012,10500
2024/04/26,臺指選擇權,投信,0,0,0,0,0,0,246,3380,180,654,66,2726
2024/04/26,臺指選擇權,自營商,240921,1162782,230792,1075128,10129,87654,126739,1182788,104853,778708,21886,404080
