日期,單位名稱,買進金額,賣出金額,買賣差額
2024-01-30,自營商(避險),"9,344,839,953","9,786,397,716","-441,557,763"
2024-01-30,外資自營商,"311,980","167,140","144,840"
2024-01-31,外資自營商,"116,280","307,410","-191,130"
2024-01-31,外資及陸資(不含外資自營商),"96,080,214,286","108,526,561,302","-12,446,347,016"
2024-01-31,合計,"110,251,152,180","126,629,149,310","-16,377,997,130"
2024-01-31,自營商(自行買賣),"3,812,812,999","3,554,523,524","258,289,475"
2024-01-31,自營商(避險),"7,732,803,353","9,729,005,367","-1,996,202,014"
2024-01-31,投信,"2,625,321,542","4,819,059,117","-2,193,737,575"
2024-02-01,投信,"5,005,383,011","5,338,769,001","-333,385,990"
2024-02-01,自營商(避險),"10,114,723,688","10,276,520,504","-161,796,816"
2024-02-01,合計,"133,334,124,147","111,116,143,164","22,217,980,983"
2024-02-01,外資自營商,"125,430","195,080","-69,650"
2024-02-01,自營商(自行買賣),"5,235,031,493","4,509,757,633","725,273,860"
2024-02-01,外資及陸資(不含外資自營商),"112,978,985,955","90,991,096,026","21,987,889,929"
2024-02-02,外資及陸資(不含外資自營商),"108,556,193,603","93,389,472,511","15,166,721,092"
2024-02-02,外資自營商,"286,170","24,180","261,990"
2024-02-02,自營商(避險),"8,870,171,754","9,774,550,653","-904,378,899"
2024-02-02,投信,"5,484,440,676","5,881,557,289","-397,116,613"
2024-02-02,合計,"128,591,615,208","113,933,021,986","14,658,593,222"
2024-02-02,自營商(自行買賣),"5,680,809,175","4,887,441,533","793,367,642"
2024-02-05,自營商(自行買賣),"4,098,486,709","4,903,407,833","-804,921,124"
2024-02-05,外資及陸資(不含外資自營商),"100,893,980,432","107,065,989,983","-6,172,009,551"
2024-02-05,合計,"118,673,011,041","131,742,524,009","-13,069,512,968"
2024-02-05,投信,"4,671,941,400","7,146,276,936","-2,474,335,536"
2024-02-05,自營商(避險),"9,008,602,500","12,626,849,257","-3,618,246,757"
2024-02-05,外資自營商,"62,500","8,920","53,580"
2024-02-15,合計,"262,499,766,721","200,903,108,838","61,596,657,883"
2024-02-15,外資及陸資(不含外資自營商),"232,043,404,585","175,786,296,688","56,257,107,897"
2024-02-15,外資自營商,"296,260","791,920","-495,660"
2024-02-15,自營商(自行買賣),"8,390,717,973","6,170,537,530","2,220,180,443"
2024-02-15,自營商(避險),"16,351,824,282","12,164,014,957","4,187,809,325"
2024-02-15,投信,"5,713,819,881","6,782,259,663","-1,068,439,782"
2024-02-16,自營商(避險),"12,679,905,319","10,646,517,262","2,033,388,057"
2024-02-16,投信,"4,656,070,464","6,948,276,149","-2,292,205,685"
2024-02-16,合計,"167,168,495,550","160,394,556,783","6,773,938,767"
2024-02-16,自營商(自行買賣),"8,738,841,261","5,440,233,453","3,298,607,808"
2024-02-16,外資及陸資(不含外資自營商),"141,093,678,506","137,359,529,919","3,734,148,587"
2024-02-16,外資自營商,"881,320","533,640","347,680"
2024-02-19,合計,"130,571,546,693","140,011,649,912","-9,440,103,219"
2024-02-19,外資及陸資(不含外資自營商),"106,011,362,182","116,965,416,152","-10,954,053,970"
2024-02-19,投信,"6,138,573,242","6,562,638,898","-424,065,656"
2024-02-19,外資自營商,"416,590","148,280","268,310"
2024-02-19,自營商(自行買賣),"8,021,329,278","4,978,333,395","3,042,995,883"
2024-02-19,自營商(避險),"10,400,281,991","11,505,261,467","-1,104,979,476"
2024-02-20,投信,"5,829,951,137","7,135,682,199","-1,305,731,062"
2024-02-20,外資自營商,"215,320","279,270","-63,950"
2024-02-20,自營商(避險),"11,959,073,265","11,360,271,208","598,802,057"
2024-02-20,自營商(自行買賣),"4,821,506,059","5,172,771,313","-351,265,254"
2024-02-20,外資及陸資(不含外資自營商),"117,302,245,685","110,923,802,402","6,378,443,283"
2024-02-20,合計,"139,912,776,146","134,592,527,122","5,320,249,024"
2024-02-21,自營商(自行買賣),"7,705,181,324","4,652,301,899","3,052,879,425"
2024-02-21,外資及陸資(不含外資自營商),"103,543,963,780","117,061,553,706","-13,517,589,926"
2024-02-21,合計,"128,824,236,572","138,759,542,772","-9,935,306,200"
2024-02-21,外資自營商,"306,200","501,500","-195,300"
2024-02-21,投信,"5,340,409,648","5,514,972,761","-174,563,113"
2024-02-21,自營商(避險),"12,234,681,820","11,530,714,406","703,967,414"
2024-02-22,外資及陸資(不含外資自營商),"129,141,580,833","112,660,320,413","16,481,260,420"
2024-02-22,合計,"157,189,055,033","133,172,404,222","24,016,650,811"
2024-02-22,自營商(自行買賣),"9,211,953,344","4,456,364,514","4,755,588,830"
2024-02-22,外資自營商,"646,250","882,860","-236,610"
2024-02-22,投信,"5,320,969,048","5,653,723,490","-332,754,442"
2024-02-22,自營商(避險),"13,514,551,808","10,401,995,805","3,112,556,003"
2024-02-23,合計,"179,049,116,316","148,812,824,466","30,236,291,850"
2024-02-23,外資自營商,"1,055,430","1,039,120","16,310"
2024-02-23,外資及陸資(不含外資自營商),"154,345,119,255","123,516,015,853","30,829,103,402"
2024-02-23,投信,"4,589,185,871","7,058,863,573","-2,469,677,702"
2024-02-23,自營商(避險),"13,749,441,514","12,665,383,018","1,084,058,496"
2024-02-23,自營商(自行買賣),"6,365,369,676","5,572,562,022","792,807,654"
2024-02-26,合計,"134,298,903,093","130,749,034,356","3,549,868,737"
2024-02-26,自營商(避險),"11,594,009,946","12,892,446,292","-1,298,436,346"
2024-02-26,投信,"5,307,772,057","8,391,870,188","-3,084,098,131"
2024-02-26,自營商(自行買賣),"7,004,551,567","4,127,341,724","2,877,209,843"
2024-02-26,外資及陸資(不含外資自營商),"110,392,569,523","105,337,376,152","5,055,193,371"
2024-02-26,外資自營商,"1,233,290","760,960","472,330"
2024-02-27,自營商(自行買賣),"6,963,178,826","7,655,423,081","-692,244,255"
2024-02-27,外資自營商,"963,800","899,320","64,480"
