日期,商品名稱,身份別,多方交易口數,多方交易契約金額(千元),空方交易口數,空方交易契約金額(千元),多空交易口數淨額,多空交易契約金額淨額(千元),多方未平倉口數,多方未平倉契約金額(千元),空方未平倉口數,空方未平倉契約金額(千元),多空未平倉口數淨額,多空未平倉契約金額淨額(千元)
2024-04-08,臺股期貨,自營商,8523,34849206,9151,37419740,-628,-2570533,2613,10686713,10089,41249652,-7476,-30562939
2024-04-08,臺股期貨,外資,57470,234976003,55835,228273867,1635,6702136,30242,123678395,36096,147612143,-5854,-23933748
2024-04-08,臺股期貨,投信,320,1310320,48,196462,272,1113857,15555,63610617,7553,30887310,8002,32723307
2024-04-09,臺股期貨,自營商,12532,51868341,14345,59297073,-1813,-7428732,3013,12576019,12271,51206933,-9258,-38630914
2024-04-09,臺股期貨,外資,77325,319415896,68153,281693970,9172,37721926,37704,157381340,32540,135817390,5164,21563950
2024-04-09,臺股期貨,投信,390,1627676,31,129028,359,1498647,15608,65144670,7247,30247661,8361,34897009
2024-04-10,臺股期貨,自營商,11227,46782095,9171,38215435,2056,8566660,2777,11579808,9991,41651909,-7214,-30072101
2024-04-10,臺股期貨,外資,57810,240896643,64685,269519213,-6875,-28622570,35077,146275533,36787,153390214,-1710,-7114681
2024-04-10,臺股期貨,投信,4,16679,59,246020,-55,-229340,15554,64853958,7248,30221429,8306,34632529
2024-04-11,臺股期貨,外資,67720,280741111,76706,317975835,-8986,-37234724,31607,131208248,44571,184996434,-12964,-53788186
2024-04-11,臺股期貨,投信,373,1548851,128,531152,245,1017700,15920,66075072,7369,30584643,8551,35490429
2024-04-11,臺股期貨,自營商,10987,45547500,9793,40615524,1194,4931976,3211,13329710,9199,38177985,-5988,-24848275
2024-04-12,臺股期貨,外資,74926,310710527,73971,306689419,955,4021108,31789,132030160,43798,181836463,-12009,-49806303
2024-04-12,臺股期貨,投信,1789,7443433,1607,6672732,182,770701,16074,66735412,7341,30469867,8733,36265545
2024-04-12,臺股期貨,自營商,11501,47686997,10608,44019227,893,3667769,4275,17749836,9368,38907425,-5093,-21157589
2024-04-15,臺股期貨,外資,98949,406936833,103854,427243985,-4905,-20307153,30125,123669144,47928,196715806,-17803,-73046662
2024-04-15,臺股期貨,投信,12181,50073504,12087,49653949,94,419555,16344,67110888,7517,30865664,8827,36245224
2024-04-15,臺股期貨,自營商,16656,68540355,15948,65590886,708,2949469,4252,17458547,8685,35638240,-4433,-18179693
2024-04-16,臺股期貨,外資,146955,591573309,147546,594147078,-591,-2573769,32980,131734150,51366,205185816,-18386,-73451666
2024-04-16,臺股期貨,投信,9234,36850842,8855,35335770,379,1515072,17167,68596686,7961,31814843,9206,36781843
2024-04-16,臺股期貨,自營商,26904,108271835,25993,104619230,911,3652605,5707,22794452,9017,35993916,-3310,-13199464
2024-04-17,臺股期貨,投信,1244,5022884,217,877991,1027,4144892,16880,68158064,7812,31543294,9068,36614770
2024-04-17,臺股期貨,自營商,20932,84046303,21468,86203167,-536,-2156865,4119,16620731,6769,27303268,-2650,-10682537
2024-04-17,臺股期貨,外資,104069,417277259,101789,408234665,2280,9042593,24880,100460414,42832,172936009,-17952,-72475595
2024-04-18,臺股期貨,自營商,10322,41674629,9991,40333083,331,1341546,4825,19628190,7153,29086298,-2328,-9458108
2024-04-18,臺股期貨,外資,89931,362601123,87395,352346926,2536,10254197,24891,101321214,39591,161146304,-14700,-59825090
2024-04-18,臺股期貨,投信,335,1362453,289,1175536,46,186918,16823,68479704,7709,31380255,9114,37099449
2024-04-19,臺股期貨,外資,170784,674936988,173531,686330550,-2747,-11393562,21289,83277609,41066,160623583,-19777,-77345974
2024-04-19,臺股期貨,投信,1330,5204957,645,2524989,685,2679968,18038,70561048,8239,32229320,9799,38331728
2024-04-19,臺股期貨,自營商,27068,106699529,26339,103843926,729,2855603,5228,20435485,6666,26038105,-1438,-5602620
2024-04-22,臺股期貨,自營商,11177,43792061,12616,49400741,-1439,-5608680,4297,16767857,7152,27896179,-2855,-11128322
2024-04-22,臺股期貨,外資,111699,437894460,109061,427538140,2638,10356320,19216,75049268,35616,139083977,-16400,-64034709
2024-04-22,臺股期貨,投信,487,1902128,122,476568,365,1425560,18246,71261578,8082,31565059,10164,39696519
2024-04-23,臺股期貨,自營商,6561,25775775,8597,33782563,-2036,-8006788,3486,13706995,8555,33633887,-5069,-19926892
2024-04-23,臺股期貨,外資,75861,297954803,71966,282619890,3895,15334913,22071,86870283,34576,136071750,-12505,-49201467
2024-04-23,臺股期貨,投信,535,2105027,0,0,535,2105027,18626,73311936,7917,31161312,10709,42150624
2024-04-24,臺股期貨,投信,683,2753549,16,64126,667,2689423,18865,76101410,7489,30210626,11376,45890784
2024-04-24,臺股期貨,自營商,10904,43709989,9455,37866734,1449,5843255,4259,17163069,7851,31624144,-3592,-14461075
2024-04-24,臺股期貨,外資,67136,268295026,68571,274084591,-1435,-5789565,23526,94900732,36859,148666230,-13333,-53765498
2024-04-25,臺股期貨,外資,75573,301683310,79417,317002165,-3844,-15318855,20704,82316535,37864,150520382,-17160,-68203847
2024-04-25,臺股期貨,投信,309,1234538,339,1347454,-30,-112916,18952,75353152,7606,30241456,11346,45111696
2024-04-25,臺股期貨,自營商,7958,31745097,7677,30615005,281,1130091,4189,16636838,7465,29633073,-3276,-12996235
2024-04-26,臺股期貨,自營商,12576,50427350,13084,52483616,-508,-2056266,4127,16633375,7878,31739798,-3751,-15106423
2024-04-26,臺股期貨,外資,102562,410862493,99290,397747684,3272,13114809,23378,94329859,37266,150346722,-13888,-56016863
2024-04-26,臺股期貨,投信,871,3513447,149,594588,722,2918859,19549,78884125,7481,30187331,12068,48696794
2024-04-29,臺股期貨,投信,654,2676568,105,430916,549,2245652,19757,81201270,7140,29345400,12617,51855870
2024-04-29,臺股期貨,自營商,9652,39357486,9274,37857681,378,1499805,4764,19556543,8195,33634036,-3431,-14077493
2024-04-29,臺股期貨,外資,71228,290152307,72381,294790651,-1153,-4638343,25304,103993965,40345,165787884,-15041,-61793919
2024-04-30,臺股期貨,自營商,7177,29418050,7562,30998548,-385,-1580498,4528,18460817,8296,33826063,-3768,-15365246
